Time,Time Code,Country Name,Country Code,Forest area (% of land area) [AG.LND.FRST.ZS],Bank liquid reserves to bank assets ratio (%) [FD.RES.LIQU.AS.ZS],"Binding coverage, all products (%) [TM.TAX.MRCH.BC.ZS]",Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],"Bound rate, simple mean, all products (%) [TM.TAX.MRCH.BR.ZS]"
1990,YR1990,Canada,CAN,38.84551156,..,..,..,..
1990,YR1990,Australia,AUS,17.42735899,..,..,..,..
1990,YR1990,United Arab Emirates,ARE,3.44973247,..,..,99.1,..
1990,YR1990,United States,USA,33.02230821,..,..,99.2,..
1990,YR1990,United Kingdom,GBR,11.48266027,..,..,..,..
1990,YR1990,Singapore,SGP,22.12970149,..,..,..,..
1990,YR1990,India,IND,21.50484833,..,..,..,..
2000,YR2000,Canada,CAN,38.79298183,..,99.71,99.3,5.01
2000,YR2000,Australia,AUS,17.15815576,..,97.4,99.3,9.68
2000,YR2000,United Arab Emirates,ARE,4.356941707,..,..,..,..
2000,YR2000,United States,USA,33.13017359,..,99.98,99.4,3.52
2000,YR2000,United Kingdom,GBR,12.21014343,..,0,..,..
2000,YR2000,Singapore,SGP,25.39328358,..,71.67,99.7,6.61
2000,YR2000,India,IND,22.733495,..,74.72,42.5,49.61
2001,YR2001,Canada,CAN,38.78763071,0.39356014,99.71,99.3,5.01
2001,YR2001,Australia,AUS,17.12863335,1.196880766,97.38,99.3,9.68
2001,YR2001,United Arab Emirates,ARE,4.368023092,11.71464867,..,..,..
2001,YR2001,United States,USA,33.18675561,0.790624676,99.98,99.4,3.52
2001,YR2001,United Kingdom,GBR,12.25354441,..,0,..,..
2001,YR2001,Singapore,SGP,25.50164179,..,71.67,99.6,6.61
2001,YR2001,India,IND,22.7975676,..,74.72,..,49.61
2002,YR2002,Canada,CAN,38.78227958,0.370909679,99.66,99.3,5.02
2002,YR2002,Australia,AUS,17.09911094,1.030818135,97.11,99.3,10.02
2002,YR2002,United Arab Emirates,ARE,4.379104478,9.566314192,..,..,..
2002,YR2002,United States,USA,33.24333764,0.823579637,99.98,99.5,3.72
2002,YR2002,United Kingdom,GBR,12.2969454,..,0,..,..
2002,YR2002,Singapore,SGP,25.42044444,..,71.72,99.7,6.62
2002,YR2002,India,IND,22.86164019,..,73.8,..,51.16
2003,YR2003,Canada,CAN,38.77692846,0.313276168,99.66,98.9,5.02
2003,YR2003,Australia,AUS,17.06958853,0.849434517,97.11,99.3,10.02
